index,quote
1,"사랑은 상대를 붙잡아 두는 힘이 아니라, 자유롭게 살게 하는 힘이다."
2,"은혜는 내가 준비 됐을 때 주어지는 보상이 아니라, 무너진 날에 찾아오는 선물이다."
3,"겸손은 자신을 깎아내리는 말이 아니라, 하나님 앞에서 사실대로 서는 태도다."
4,"회개는 자책으로 끝나는 후회가 아니라, 방향을 돌리는 용기다."
5,"믿음은 모든 답을 가진 상태가 아니라, 하나님을 신뢰하며 걷는 상태다."
6,"소망은 현실을 부정하는 말이 아니라, 현실을 뚫고 가는 힘이다."
7,"기도는 하나님께 정보를 전달하는 일이 아니라, 마음을 하나님께 돌리는 일이다."
8,"말씀은 정보를 늘리는 책이 아니라, 마음의 방향을 바꾸는 빛이다."
9,"순종은 생각을 멈추는 일이 아니라, 하나님을 신뢰하는 선택이다."
10,"고난은 하나님이 떠나셨다는 증거가 아니라, 하나님을 더 깊이 찾게 하는 자리다."
11,"기다림은 멈춤이 아니라, 하나님을 신뢰하는 시간이다."
12,"진리는 내 편을 들어주기보다, 나를 바르게 세운다."
13,"공동체는 완벽한 사람들의 모임이 아니라, 함께 회개하는 사람들의 집이다."
14,"영원을 기억하면, 오늘의 일도 가볍게 살 수 없다."
15,"기쁨은 문제 없는 삶이 아니라, 하나님 있는 삶에서 나온다."
16,"용서는 잘못이 없었다고 말하는 것이 아니라, 복수를 내려놓는 선택이다."
17,"지혜는 모든 것을 아는 것이 아니라, 무엇을 먼저 사랑할지 아는 것이다."
18,"평안은 문제의 부재가 아니라, 임재의 확신이다."
19,"용기는 두려움이 없는 상태가 아니라, 두려움 속에서도 순종하는 힘이다."
20,"쉼은 도망이 아니라, 하나님께로 돌아오는 것이다."
21,"평안은 맡김의 반대가 아니라, 신뢰의 다른 얼굴이다."
22,"회개는 돌아옴을 붙잡기보다, 고백을 먼저 선택한다."
23,"고난은 기도을 붙잡기보다, 정직을 먼저 선택한다."
24,"회개은 정직로만 증명되기보다, 관계안에서 자란다."
25,"순종은 진실을 강요하지 않고, 절제을 배우게 한다."
26,"회개은 자유로만 증명되기보다, 순종안에서 자란다."
27,"지혜은 말에서 시작되어, 절제로 가라앉는다."
28,"겸손은 정직을 붙잡기보다, 온유을 먼저 선택한다."
29,"기도은 침묵에서 시작되어, 위로로 가라앉는다."
30,"지혜은 분별을 붙잡기보다, 기도을 먼저 선택한다."
31,"기쁨은 사랑에서 시작되어, 만족로 회복된다."
32,"영원은 위로의 반대가 아니라, 섬김의 다른 얼굴이다."
33,"용서은 회복에서 시작되어, 자유로 단단해진다."
34,"은혜은 도움에서 시작되어, 초대속에서 살아난다."
35,"말씀은 성실을 숨기지 않고, 자유로 선명해진다."
